N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,200","하락
				200",-0.36%,100,"3,267,640","5,919,638",50.06,"4,903,225",11.15,9.03,
2,SK하이닉스,"174,700","하락
				1,900",-1.08%,"5,000","1,271,820","728,002",53.43,"944,571",6.43,31.06,
3,LG에너지솔루션,"332,000","하락
				500",-0.15%,500,"776,880","234,000",4.38,"52,607",-76.25,-4.93,
4,삼성바이오로직스,"1,073,000","상승
				1,000",+0.09%,"2,500","763,697","71,174",13.10,"27,572",70.49,10.45,
5,현대차,"186,900","하락
				400",-0.21%,"5,000","391,399","209,416",35.69,"184,294",4.06,12.43,
6,한화에어로스페이스,"834,000","상승
				4,000",+0.48%,"5,000","380,147","45,581",47.31,"91,175",17.77,53.94,
7,삼성전자우,"45,750","상승
				150",+0.33%,100,"373,308","815,975",74.08,"200,104",9.24,N/A,
8,셀트리온,"157,800","상승
				400",+0.25%,"1,000","352,302","223,258",22.27,"181,409",85.07,2.46,
9,기아,"87,700","하락
				300",-0.34%,"5,000","348,759","397,673",38.60,"272,461",3.59,19.09,
10,KB금융,"83,400","상승
				600",+0.72%,"5,000","328,203","393,528",74.83,"405,954",6.56,8.86,
11,HD현대중공업,"360,500","상승
				8,500",+2.41%,"5,000","320,027","88,773",9.87,"145,644",51.49,11.39,
12,NAVER,"194,300","상승
				6,800",+3.63%,100,"307,843","158,437",48.52,"414,312",16.31,7.90,
13,신한지주,"48,550","하락
				150",-0.31%,"5,000","244,423","503,445",57.75,"562,428",5.55,8.11,
14,한화오션,"78,600","상승
				700",+0.90%,"5,000","240,841","306,413",11.05,"1,521,924",45.59,11.52,
15,현대모비스,"242,000","하락
				2,000",-0.82%,"5,000","225,048","92,995",41.76,"56,372",5.57,9.35,
16,메리츠금융지주,"118,000","상승
				200",+0.17%,500,"217,862","184,629",16.01,"97,508",9.92,23.44,
17,POSCO홀딩스,"252,000","상승
				1,000",+0.40%,"5,000","203,951","80,933",29.20,"120,752",19.28,2.00,
18,삼성물산,"116,300","상승
				1,800",+1.57%,100,"197,683","169,977",27.76,"63,782",9.47,6.83,
19,크래프톤,"378,500","하락
				6,000",-1.56%,100,"181,343","47,911",41.74,"51,480",13.93,21.10,
20,카카오,"39,300","상승
				400",+1.03%,100,"174,442","443,872",27.77,"945,406",316.94,0.56,
21,하나금융지주,"60,200","상승
				500",+0.84%,"5,000","172,919","287,241",66.37,"250,679",4.68,9.11,
22,삼성화재,"356,500","상승
				2,000",+0.56%,500,"168,891","47,375",53.66,"29,120",8.69,13.11,
23,HMM,"19,020","상승
				60",+0.32%,"5,000","167,574","881,039",9.37,"1,174,539",3.76,15.35,
24,삼성생명,"83,000","상승
				2,700",+3.36%,500,"166,000","200,000",21.68,"135,251",7.88,6.18,
25,두산에너빌리티,"25,650","하락
				400",-1.54%,"5,000","164,304","640,561",23.50,"2,497,129",147.41,1.52,
26,HD한국조선해양,"229,500","상승
				7,500",+3.38%,"5,000","162,424","70,773",31.69,"110,031",13.85,11.16,
27,한국전력,"25,200","하락
				100",-0.40%,"5,000","161,775","641,964",17.26,"1,126,375",4.63,9.22,
28,LG화학,"216,000","하락
				1,500",-0.69%,"5,000","152,479","70,592",30.88,"79,568",-24.48,-2.11,
29,고려아연,"685,000","상승
				1,000",+0.15%,"5,000","141,817","20,703",12.25,"8,435",74.54,2.28,
30,KT&G,"114,600","상승
				4,000",+3.62%,"5,000","139,884","122,062",43.93,"228,630",12.77,12.66,
31,SK이노베이션,"92,600",보합0,0.00%,"5,000","139,858","151,035",13.57,"71,127",-4.36,-9.65,
32,우리금융지주,"17,050","상승
				60",+0.35%,"5,000","126,612","742,592",45.25,"979,874",4.11,9.39,
33,현대로템,"115,400","상승
				2,400",+2.12%,"5,000","125,950","109,142",30.86,"530,758",30.95,21.85,
34,SK텔레콤,"58,400","상승
				400",+0.69%,100,"125,437","214,790",42.74,"325,859",10.05,10.83,
35,KT,"49,550","하락
				50",-0.10%,"5,000","124,877","252,022",49.00,"73,142",26.78,2.85,
36,삼성중공업,"14,100","상승
				110",+0.79%,"1,000","124,080","880,000",29.87,"3,159,867",193.15,1.77,
37,삼성SDI,"176,900","하락
				900",-0.51%,"5,000","121,644","68,765",31.57,"117,727",21.23,3.13,
38,HD현대일렉트릭,"329,250","하락
				4,250",-1.27%,"5,000","118,685","36,047",31.24,"94,393",23.66,39.34,
39,기업은행,"14,760","상승
				60",+0.41%,"5,000","117,700","797,426",13.80,"302,926",4.45,8.06,
40,LG전자,"70,100","하락
				300",-0.43%,"5,000","114,717","163,648",29.59,"103,721",34.50,1.81,
41,SK스퀘어,"82,400","하락
				1,300",-1.55%,100,"110,044","133,548",51.74,"64,812",3.01,21.70,
42,카카오뱅크,"21,100",보합0,0.00%,"5,000","100,642","476,976",16.85,"146,107",22.86,6.95,
43,LG,"63,700","상승
				500",+0.79%,"5,000","100,201","157,301",34.72,"52,096",17.77,2.16,
44,하이브,"232,500","상승
				2,500",+1.09%,500,"96,841","41,652",19.13,"71,387","1,033.33",0.31,
45,포스코퓨처엠,"124,900","상승
				500",+0.40%,500,"96,752","77,463",9.48,"85,231",-45.57,-7.98,
46,SK,"129,500","상승
				2,200",+1.73%,200,"93,891","72,503",23.29,"110,891",-7.35,-5.64,
47,유한양행,"114,900","하락
				600",-0.52%,"1,000","92,160","80,209",18.28,"138,661",132.22,3.41,
48,삼성에스디에스,"118,600","상승
				1,700",+1.45%,500,"91,770","77,378",19.25,"49,844",12.12,8.42,
49,포스코인터내셔널,"51,100","상승
				200",+0.39%,"5,000","89,897","175,923",6.29,"170,807",17.47,8.14,
50,삼성전기,"120,000","하락
				1,200",-0.99%,"5,000","89,632","74,694",32.00,"70,356",13.71,8.16,
